Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-13-2017  1:50PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  main.ngd
output file: main_pad.csv
Part type:   xc95216
Speed grade: -10
Package:     pq160

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P147,AQ<15>,O,I/O,OUTPUT,,,,,,,,,
P148,AQ<14>,O,I/O,OUTPUT,,,,,,,,,
P149,AQ<13>,O,I/O,OUTPUT,,,,,,,,,
P150,AQ<12>,O,I/O,OUTPUT,,,,,,,,,
P151,AQ<11>,O,I/O,OUTPUT,,,,,,,,,
P152,AQ<10>,O,I/O,OUTPUT,,,,,,,,,
P153,AQ<9>,O,I/O,OUTPUT,,,,,,,,,
P154,AQ<1>,I/O,I/O,BIDIR,,,,,,,,,
P155,AQ<2>,I/O,I/O,BIDIR,,,,,,,,,
P156,AQ<3>,I/O,I/O,BIDIR,,,,,,,,,
P157,VCC,,VCCINT,,,,,,,,,,
P158,AQ<4>,I/O,I/O,BIDIR,,,,,,,,,
P159,RESET,GSR,I/O/GSR,,,,,,,,,,
P160,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


